gm_code,municipality,gender,age_group,education,N,vote_2030
GM0243    ,Harderwijk,female,45-55,"Havo, vwo, mbo2-4",1363.0,CDA
GM0308    ,Baarn,male,25-35,"Hbo-, wo-master, doctor",115.0,D66
GM1952    ,Midden-Groningen,female,15-25,"Havo, vwo, mbo2-4",1321.0,D66
GM1734    ,Overbetuwe,female,25-35,"Hbo-, wo-bachelor",778.0,D66
GM0363    ,Amsterdam,female,55-65,"Havo, vwo, mbo2-4",14761.0,VVD
GM0518    ,'s-Gravenhage (gemeente),female,35-45,"Hbo-, wo-master, doctor",10433.0,D66
GM0147    ,Borne,male,65-75,Basisonderwijs,102.0,CDA
GM1931    ,Krimpenerwaard,female,45-55,"Havo, vwo, mbo2-4",1652.0,VVD
GM1930    ,Nissewaard,female,25-35,"Hbo-, wo-bachelor",1358.0,D66
GM1992    ,Voorne aan Zee,female,65-75,"Havo, vwo, mbo2-4",1800.0,50PLUS
GM0268    ,Nijmegen,female,15-25,"Hbo-, wo-bachelor",4294.0,D66
GM0363    ,Amsterdam,male,35-45,"Havo, vwo, mbo2-4",18544.0,D66
GM0400    ,Den Helder,female,25-35,"Havo, vwo, mbo2-4",1848.0,D66
GM0202    ,Arnhem,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",1956.0,PVV
GM0153    ,Enschede,female,55-65,"Hbo-, wo-master, doctor",870.0,D66
GM0503    ,Delft,male,15-25,"Hbo-, wo-bachelor",3671.0,D66
GM1771    ,Geldrop-Mierlo,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",757.0,CDA
GM0737    ,Tytsjerksteradiel,female,15-25,"Havo, vwo, mbo2-4",797.0,FNP
GM0556    ,Maassluis,female,55-65,"Havo, vwo, mbo2-4",715.0,50PLUS
GM0252    ,Heumen,male,55-65,"Hbo-, wo-master, doctor",321.0,D66
GM0163    ,Hellendoorn,male,45-55,"Havo, vwo, mbo2-4",1175.0,VVD
GM1709    ,Moerdijk,male,45-55,"Havo, vwo, mbo2-4",1322.0,CDA
GM0268    ,Nijmegen,female,65-75,"Havo, vwo, mbo2-4",2858.0,50PLUS
GM0935    ,Maastricht,female,15-25,"Havo, vwo, mbo2-4",9781.0,D66
GM0629    ,Wassenaar,female,45-55,"Hbo-, wo-bachelor",518.0,VVD
GM1507    ,Horst aan de Maas,male,55-65,"Havo, vwo, mbo2-4",1712.0,50PLUS
GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Havo, vwo, mbo2-4",15913.0,D66
GM1586    ,Oost Gelre,male,35-45,"Havo, vwo, mbo2-4",822.0,VVD
GM0202    ,Arnhem,female,35-45,"Hbo-, wo-bachelor",3300.0,D66
GM0772    ,Eindhoven,male,25-35,"Havo, vwo, mbo2-4",6877.0,VVD
GM0518    ,'s-Gravenhage (gemeente),male,35-45,"Havo, vwo, mbo2-4",12749.0,D66
GM0796    ,'s-Hertogenbosch,female,45-55,"Hbo-, wo-master, doctor",2081.0,D66
GM0034    ,Almere,female,35-45,"Havo, vwo, mbo2-4",7005.0,D66
GM0307    ,Amersfoort,male,45-55,"Hbo-, wo-bachelor",2808.0,VVD
GM0344    ,Utrecht (gemeente),female,35-45,"Havo, vwo, mbo2-4",4868.0,D66
GM1963    ,Hoeksche Waard,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1865.0,CDA
GM0183    ,Tubbergen,male,45-55,"Hbo-, wo-bachelor",290.0,CDA
GM0637    ,Zoetermeer,male,15-25,"Havo, vwo, mbo2-4",3198.0,D66
GM0361    ,Alkmaar,female,25-35,"Hbo-, wo-bachelor",2738.0,D66
GM1721    ,Bernheze,female,55-65,"Havo, vwo, mbo2-4",1142.0,50PLUS
GM0599    ,Rotterdam,female,35-45,"Hbo-, wo-bachelor",11018.0,D66
GM1730    ,Tynaarlo,male,15-25,"Hbo-, wo-bachelor",83.0,D66
GM1509    ,Oude IJsselstreek,male,35-45,"Havo, vwo, mbo2-4",1028.0,VVD
GM1980    ,Dijk en Waard,male,45-55,"Havo, vwo, mbo2-4",2778.0,BBB
GM0114    ,Emmen,male,65-75,"Hbo-, wo-bachelor",937.0,VVD
GM0193    ,Zwolle,female,55-65,"Havo, vwo, mbo2-4",3240.0,CDA
GM0299    ,Zevenaar,male,25-35,"Havo, vwo, mbo2-4",1230.0,VVD
GM0268    ,Nijmegen,male,15-25,Basisonderwijs,1498.0,Did not vote
GM0141    ,Almelo,male,35-45,"Havo, vwo, mbo2-4",2116.0,VVD
GM0994    ,Valkenburg aan de Geul,female,45-55,"Hbo-, wo-bachelor",240.0,CDA
GM0307    ,Amersfoort,female,45-55,"Havo, vwo, mbo2-4",3410.0,VVD
GM0513    ,Gouda,female,35-45,"Hbo-, wo-bachelor",1214.0,D66
GM0928    ,Kerkrade,male,35-45,"Havo, vwo, mbo2-4",1397.0,CDA
GM1982    ,Land van Cuijk,female,25-35,"Havo, vwo, mbo2-4",2293.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Hbo-, wo-master, doctor",10460.0,D66
GM0363    ,Amsterdam,female,65-75,"Hbo-, wo-master, doctor",6971.0,D66
GM0484    ,Alphen aan den Rijn,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",2312.0,Did not vote
GM0037    ,Stadskanaal,female,65-75,"Hbo-, wo-bachelor",253.0,CDA
GM0363    ,Amsterdam,female,15-25,"Havo, vwo, mbo2-4",30973.0,D66
GM1507    ,Horst aan de Maas,male,45-55,Basisonderwijs,100.0,BBB
GM0796    ,'s-Hertogenbosch,female,55-65,Basisonderwijs,1321.0,CDA
GM0014    ,Groningen (gemeente),male,65-75,Basisonderwijs,867.0,50PLUS
GM0489    ,Barendrecht,female,35-45,"Havo, vwo, mbo2-4",1045.0,VVD
GM0826    ,Oosterhout,male,45-55,"Havo, vwo, mbo2-4",1562.0,VVD
GM1509    ,Oude IJsselstreek,male,55-65,"Havo, vwo, mbo2-4",1709.0,50PLUS
GM0150    ,Deventer,female,55-65,"Hbo-, wo-master, doctor",781.0,D66
GM0327    ,Leusden,male,45-55,"Havo, vwo, mbo2-4",701.0,VVD
GM0080    ,Leeuwarden,male,55-65,"Havo, vwo, mbo2-4",3477.0,CDA
GM0957    ,Roermond,male,55-65,Basisonderwijs,396.0,50PLUS
GM0392    ,Haarlem,male,25-35,"Hbo-, wo-master, doctor",2432.0,D66
GM0202    ,Arnhem,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1360.0,CDA
GM0388    ,Enkhuizen,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",347.0,50PLUS
GM0296    ,Wijchen,female,25-35,"Hbo-, wo-bachelor",684.0,D66
GM0718    ,Vlissingen,female,65-75,"Hbo-, wo-bachelor",629.0,CDA
GM0622    ,Vlaardingen,female,25-35,Basisonderwijs,243.0,Did not vote
GM0086    ,Opsterland,male,25-35,"Hbo-, wo-bachelor",236.0,D66
GM0794    ,Helmond,male,55-65,"Havo, vwo, mbo2-4",2849.0,VVD
GM0344    ,Utrecht (gemeente),female,55-65,"Hbo-, wo-bachelor",3410.0,D66
GM0935    ,Maastricht,male,15-25,"Havo, vwo, mbo2-4",6068.0,D66
GM0150    ,Deventer,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",854.0,VVD
GM0153    ,Enschede,female,15-25,"Hbo-, wo-bachelor",1844.0,D66
GM0375    ,Beverwijk,female,35-45,"Havo, vwo, mbo2-4",1218.0,VVD
GM0074    ,Heerenveen,male,55-65,"Havo, vwo, mbo2-4",1699.0,CDA
GM0518    ,'s-Gravenhage (gemeente),male,45-55,"Hbo-, wo-bachelor",7189.0,VVD
GM0216    ,Culemborg,female,35-45,"Havo, vwo, mbo2-4",616.0,VVD
GM0080    ,Leeuwarden,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",907.0,FNP
GM0153    ,Enschede,male,45-55,"Hbo-, wo-bachelor",2040.0,D66
GM0014    ,Groningen (gemeente),female,15-25,"Havo, vwo, mbo2-4",18020.0,D66
GM1980    ,Dijk en Waard,male,55-65,"Havo, vwo, mbo2-4",2898.0,VVD
GM1681    ,Borger-Odoorn,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",370.0,BBB
GM0796    ,'s-Hertogenbosch,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",2124.0,CDA
GM1640    ,Leudal,male,15-25,Basisonderwijs,346.0,Did not vote
GM0484    ,Alphen aan den Rijn,female,15-25,Basisonderwijs,819.0,Did not vote
GM1969    ,Westerkwartier,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",897.0,BBB
GM1904    ,Stichtse Vecht,female,35-45,"Hbo-, wo-master, doctor",1289.0,D66
GM0599    ,Rotterdam,female,35-45,"Havo, vwo, mbo2-4",15812.0,D66
GM0866    ,Waalre,male,45-55,"Hbo-, wo-bachelor",301.0,VVD
GM0984    ,Venray,female,65-75,"Hbo-, wo-bachelor",297.0,CDA
GM0273    ,Putten,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",506.0,Did not vote
GM0353    ,IJsselstein,male,45-55,"Havo, vwo, mbo2-4",952.0,VVD
GM0080    ,Leeuwarden,female,25-35,Basisonderwijs,911.0,Did not vote
GM1966    ,Het Hogeland,male,35-45,"Hbo-, wo-bachelor",481.0,BBB
GM0307    ,Amersfoort,female,55-65,"Hbo-, wo-bachelor",2859.0,CDA
GM1903    ,Eijsden-Margraten,female,55-65,"Havo, vwo, mbo2-4",1027.0,CDA
GM0957    ,Roermond,male,25-35,"Hbo-, wo-bachelor",959.0,D66
GM0599    ,Rotterdam,male,45-55,"Hbo-, wo-bachelor",6520.0,D66
GM0228    ,Ede,male,55-65,"Havo, vwo, mbo2-4",2888.0,VVD
GM0629    ,Wassenaar,male,55-65,"Havo, vwo, mbo2-4",504.0,VVD
GM0202    ,Arnhem,female,45-55,Basisonderwijs,1089.0,Did not vote
GM0828    ,Oss,male,35-45,"Hbo-, wo-bachelor",1218.0,VVD
GM1963    ,Hoeksche Waard,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1574.0,Did not vote
GM0014    ,Groningen (gemeente),male,65-75,"Havo, vwo, mbo2-4",3631.0,VVD
GM0556    ,Maassluis,male,35-45,"Hbo-, wo-bachelor",466.0,VVD
GM1892    ,Zuidplas,female,25-35,"Havo, vwo, mbo2-4",1299.0,D66
GM0394    ,Haarlemmermeer,male,35-45,"Havo, vwo, mbo2-4",4201.0,VVD
GM1954    ,Beekdaelen,male,25-35,"Hbo-, wo-bachelor",463.0,D66
GM0355    ,Zeist,female,35-45,"Hbo-, wo-master, doctor",1830.0,D66
GM0394    ,Haarlemmermeer,male,45-55,"Hbo-, wo-master, doctor",1557.0,D66
GM0441    ,Schagen,male,15-25,"Havo, vwo, mbo2-4",1353.0,Did not vote
GM0489    ,Barendrecht,female,25-35,"Havo, vwo, mbo2-4",867.0,VVD
GM0772    ,Eindhoven,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",2058.0,PVV
GM0597    ,Ridderkerk,male,55-65,"Havo, vwo, mbo2-4",1515.0,VVD
GM0632    ,Woerden,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",562.0,VVD
GM1969    ,Westerkwartier,male,35-45,Basisonderwijs,129.0,BBB
GM0392    ,Haarlem,female,45-55,"Havo, vwo, mbo2-4",3266.0,50PLUS
GM0556    ,Maassluis,female,65-75,"Havo, vwo, mbo2-4",755.0,50PLUS
GM1734    ,Overbetuwe,female,45-55,"Hbo-, wo-master, doctor",561.0,D66
GM0392    ,Haarlem,female,55-65,"Havo, vwo, mbo2-4",3763.0,VVD
GM0342    ,Soest,male,35-45,"Hbo-, wo-master, doctor",599.0,D66
GM0553    ,Lisse,female,15-25,"Havo, vwo, mbo2-4",570.0,D66
GM1980    ,Dijk en Waard,male,35-45,"Havo, vwo, mbo2-4",2859.0,VVD
GM0479    ,Zaanstad,male,25-35,"Havo, vwo, mbo2-4",5778.0,D66
GM0599    ,Rotterdam,male,65-75,"Havo, vwo, mbo2-4",9786.0,50PLUS
GM0405    ,Hoorn,female,65-75,Basisonderwijs,536.0,50PLUS
GM1700    ,Twenterand,female,35-45,"Hbo-, wo-bachelor",494.0,D66
GM0402    ,Hilversum,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",538.0,SP
GM1960    ,West Betuwe,female,25-35,"Hbo-, wo-master, doctor",429.0,D66
GM0345    ,Veenendaal,female,45-55,"Hbo-, wo-bachelor",873.0,VVD
GM0362    ,Amstelveen,male,55-65,"Hbo-, wo-master, doctor",1534.0,D66
GM0216    ,Culemborg,female,55-65,"Havo, vwo, mbo2-4",768.0,CDA
GM0118    ,Hoogeveen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1274.0,Did not vote
GM0796    ,'s-Hertogenbosch,female,45-55,Basisonderwijs,898.0,CDA
GM0109    ,Coevorden,female,65-75,Basisonderwijs,360.0,CDA
GM0622    ,Vlaardingen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1369.0,Did not vote
GM0361    ,Alkmaar,male,25-35,"Hbo-, wo-bachelor",2128.0,D66
GM0202    ,Arnhem,male,35-45,"Havo, vwo, mbo2-4",4177.0,VVD
GM0168    ,Losser,female,45-55,"Hbo-, wo-bachelor",329.0,VVD
GM1891    ,Dantumadiel,male,25-35,"Havo, vwo, mbo2-4",662.0,VVD
GM0047    ,Veendam,female,15-25,"Havo, vwo, mbo2-4",594.0,PvdD
GM1701    ,Westerveld,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",262.0,BBB
GM0599    ,Rotterdam,female,65-75,Basisonderwijs,8968.0,PVV
GM1734    ,Overbetuwe,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",987.0,Did not vote
GM0164    ,Hengelo (O.),female,65-75,"Hbo-, wo-bachelor",950.0,CDA
GM0268    ,Nijmegen,male,35-45,"Hbo-, wo-bachelor",2699.0,D66
GM1895    ,Oldambt,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",776.0,CDA
GM0355    ,Zeist,male,35-45,"Hbo-, wo-master, doctor",1328.0,D66
GM0796    ,'s-Hertogenbosch,male,55-65,"Hbo-, wo-master, doctor",1820.0,D66
GM0377    ,Bloemendaal,female,45-55,"Hbo-, wo-master, doctor",878.0,D66
GM1900    ,Súdwest-Fryslân,female,35-45,"Hbo-, wo-master, doctor",614.0,D66
GM1900    ,Súdwest-Fryslân,female,15-25,"Havo, vwo, mbo2-4",2007.0,D66
GM0794    ,Helmond,male,35-45,Basisonderwijs,630.0,Did not vote
GM1940    ,De Fryske Marren,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",999.0,BBB
GM0294    ,Winterswijk,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",211.0,BBB
GM0637    ,Zoetermeer,male,45-55,"Hbo-, wo-bachelor",1839.0,D66
GM1721    ,Bernheze,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",699.0,Did not vote
GM0209    ,Beuningen,female,45-55,"Hbo-, wo-master, doctor",318.0,D66
GM0971    ,Stein (L.),male,55-65,"Havo, vwo, mbo2-4",924.0,CDA
GM0289    ,Wageningen,female,65-75,"Hbo-, wo-master, doctor",481.0,D66
GM0268    ,Nijmegen,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",1387.0,PVV
GM0935    ,Maastricht,female,65-75,Basisonderwijs,1470.0,CDA
GM0599    ,Rotterdam,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",6971.0,PVV
GM0114    ,Emmen,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",1316.0,PVV
GM0984    ,Venray,female,35-45,"Havo, vwo, mbo2-4",1015.0,CDA
GM0344    ,Utrecht (gemeente),male,55-65,Basisonderwijs,2650.0,Did not vote
GM0209    ,Beuningen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",417.0,Did not vote
GM0855    ,Tilburg,female,25-35,"Hbo-, wo-bachelor",6084.0,D66
GM0363    ,Amsterdam,male,35-45,"Hbo-, wo-bachelor",18401.0,GL-PvdA
GM0353    ,IJsselstein,female,35-45,Basisonderwijs,60.0,Did not vote
GM0518    ,'s-Gravenhage (gemeente),male,45-55,Basisonderwijs,5451.0,PVV
GM0034    ,Almere,female,35-45,"Hbo-, wo-bachelor",5016.0,D66
GM0603    ,Rijswijk (ZH.),female,65-75,"Havo, vwo, mbo2-4",1251.0,50PLUS
GM0642    ,Zwijndrecht,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",467.0,PVV
GM0479    ,Zaanstad,female,35-45,"Hbo-, wo-bachelor",3062.0,D66
GM0599    ,Rotterdam,male,45-55,"Havo, vwo, mbo2-4",15471.0,VVD
GM0344    ,Utrecht (gemeente),female,15-25,"Havo, vwo, mbo2-4",14900.0,D66
GM1952    ,Midden-Groningen,female,25-35,Basisonderwijs,96.0,Did not vote
GM0439    ,Purmerend,female,45-55,"Havo, vwo, mbo2-4",2864.0,VVD
GM0627    ,Waddinxveen,female,15-25,"Havo, vwo, mbo2-4",801.0,D66
GM1621    ,Lansingerland,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",909.0,CDA
GM0537    ,Katwijk,female,15-25,"Havo, vwo, mbo2-4",1836.0,D66
GM0603    ,Rijswijk (ZH.),male,15-25,"Havo, vwo, mbo2-4",1373.0,D66
GM0014    ,Groningen (gemeente),female,15-25,"Hbo-, wo-bachelor",5684.0,D66
GM0546    ,Leiden,female,25-35,"Hbo-, wo-bachelor",3840.0,D66
GM0394    ,Haarlemmermeer,female,35-45,"Hbo-, wo-bachelor",3366.0,D66
GM0059    ,Achtkarspelen,female,35-45,"Havo, vwo, mbo2-4",896.0,CDA
GM0301    ,Zutphen,male,45-55,"Havo, vwo, mbo2-4",1468.0,VVD
GM0263    ,Maasdriel,female,45-55,"Havo, vwo, mbo2-4",770.0,CDA
GM1949    ,Waadhoeke,male,65-75,"Havo, vwo, mbo2-4",1367.0,CDA
GM0758    ,Breda,male,45-55,"Hbo-, wo-bachelor",3405.0,CDA
GM0294    ,Winterswijk,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",470.0,CDA
GM1774    ,Dinkelland,male,55-65,"Havo, vwo, mbo2-4",1140.0,BBB
GM1894    ,Peel en Maas,male,45-55,"Havo, vwo, mbo2-4",1501.0,BBB
GM1771    ,Geldrop-Mierlo,female,45-55,"Havo, vwo, mbo2-4",1042.0,VVD
GM0392    ,Haarlem,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",1463.0,50PLUS
GM0344    ,Utrecht (gemeente),male,35-45,"Hbo-, wo-bachelor",7360.0,D66
GM0267    ,Nijkerk,female,65-75,"Havo, vwo, mbo2-4",835.0,CDA
GM0230    ,Elburg,female,15-25,"Havo, vwo, mbo2-4",641.0,D66
GM0361    ,Alkmaar,male,55-65,"Hbo-, wo-bachelor",1525.0,VVD
GM1963    ,Hoeksche Waard,female,55-65,"Hbo-, wo-bachelor",1122.0,50PLUS
GM0534    ,Hillegom,male,45-55,"Havo, vwo, mbo2-4",643.0,VVD
GM0917    ,Heerlen,female,35-45,Basisonderwijs,597.0,Did not vote
GM0737    ,Tytsjerksteradiel,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",607.0,Did not vote
GM0080    ,Leeuwarden,female,15-25,"Hbo-, wo-bachelor",896.0,D66
GM0420    ,Medemblik,female,55-65,"Havo, vwo, mbo2-4",1720.0,CDA
GM0193    ,Zwolle,male,35-45,"Hbo-, wo-master, doctor",1700.0,D66
GM0363    ,Amsterdam,male,45-55,Basisonderwijs,5775.0,PVV
GM1640    ,Leudal,female,55-65,"Havo, vwo, mbo2-4",1599.0,CDA
GM1948    ,Meierijstad,male,35-45,"Hbo-, wo-master, doctor",562.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,55-65,"Havo, vwo, mbo2-4",11267.0,VVD
GM0166    ,Kampen,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",428.0,CDA
GM0505    ,Dordrecht,male,25-35,"Havo, vwo, mbo2-4",4523.0,D66
GM0518    ,'s-Gravenhage (gemeente),female,65-75,Basisonderwijs,5080.0,50PLUS
GM0575    ,Noordwijk,male,45-55,"Hbo-, wo-bachelor",651.0,VVD
GM0453    ,Velsen,female,45-55,"Hbo-, wo-master, doctor",945.0,D66
GM0603    ,Rijswijk (ZH.),male,35-45,"Hbo-, wo-master, doctor",1021.0,D66
GM0230    ,Elburg,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",438.0,Did not vote
GM0823    ,Oirschot,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",364.0,Did not vote
GM0556    ,Maassluis,female,65-75,"Hbo-, wo-bachelor",334.0,CDA
GM0202    ,Arnhem,female,25-35,"Havo, vwo, mbo2-4",4828.0,D66
GM0622    ,Vlaardingen,male,55-65,"Havo, vwo, mbo2-4",2213.0,VVD
GM0047    ,Veendam,male,35-45,"Havo, vwo, mbo2-4",962.0,BBB
GM1705    ,Lingewaard,female,25-35,"Havo, vwo, mbo2-4",987.0,VVD
GM0114    ,Emmen,female,35-45,"Havo, vwo, mbo2-4",2995.0,VVD
GM0267    ,Nijkerk,male,35-45,"Havo, vwo, mbo2-4",1305.0,BBB
GM0556    ,Maassluis,male,65-75,"Havo, vwo, mbo2-4",874.0,50PLUS
GM1681    ,Borger-Odoorn,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",437.0,BBB
GM1955    ,Montferland,female,55-65,"Hbo-, wo-master, doctor",149.0,D66
GM0606    ,Schiedam,male,55-65,"Hbo-, wo-bachelor",737.0,VVD
GM1859    ,Berkelland,male,45-55,"Hbo-, wo-bachelor",481.0,VVD
GM0168    ,Losser,female,35-45,"Hbo-, wo-master, doctor",154.0,D66
GM0177    ,Raalte,female,25-35,"Havo, vwo, mbo2-4",902.0,BBB
GM1719    ,Drimmelen,male,35-45,"Havo, vwo, mbo2-4",938.0,BBB
GM1892    ,Zuidplas,female,65-75,"Havo, vwo, mbo2-4",983.0,CDA
GM0957    ,Roermond,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",504.0,Did not vote
GM1894    ,Peel en Maas,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",814.0,Did not vote
GM0392    ,Haarlem,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",3344.0,D66
GM0310    ,De Bilt,male,15-25,"Havo, vwo, mbo2-4",1198.0,VVD
GM1525    ,Teylingen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",616.0,Did not vote
GM0164    ,Hengelo (O.),female,25-35,"Havo, vwo, mbo2-4",2138.0,D66
GM1954    ,Beekdaelen,female,15-25,"Havo, vwo, mbo2-4",656.0,D66
GM1963    ,Hoeksche Waard,male,65-75,"Havo, vwo, mbo2-4",2430.0,CDA
GM0513    ,Gouda,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",907.0,CDA
GM1940    ,De Fryske Marren,female,15-25,"Havo, vwo, mbo2-4",1172.0,PvdD
GM0034    ,Almere,female,55-65,"Havo, vwo, mbo2-4",6751.0,CDA
GM0928    ,Kerkrade,male,35-45,Basisonderwijs,389.0,CDA
GM0677    ,Hulst,female,15-25,"Havo, vwo, mbo2-4",360.0,GL-PvdA
GM0622    ,Vlaardingen,female,35-45,"Havo, vwo, mbo2-4",2194.0,D66
GM1931    ,Krimpenerwaard,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1188.0,Did not vote
GM0189    ,Wierden,male,55-65,"Hbo-, wo-master, doctor",157.0,VVD
GM0405    ,Hoorn,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",524.0,SP
GM0273    ,Putten,male,35-45,"Hbo-, wo-master, doctor",160.0,D66
GM1706    ,Cranendonck,male,35-45,"Havo, vwo, mbo2-4",512.0,BBB
GM1621    ,Lansingerland,male,25-35,"Hbo-, wo-bachelor",936.0,D66
GM0622    ,Vlaardingen,female,25-35,"Havo, vwo, mbo2-4",2657.0,D66
GM1700    ,Twenterand,female,55-65,"Havo, vwo, mbo2-4",1090.0,CDA
GM0518    ,'s-Gravenhage (gemeente),female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",4407.0,CDA
GM0957    ,Roermond,male,35-45,"Hbo-, wo-master, doctor",568.0,D66
GM0363    ,Amsterdam,female,45-55,"Hbo-, wo-master, doctor",16181.0,D66
GM0363    ,Amsterdam,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",7546.0,50PLUS
GM0531    ,Hendrik-Ido-Ambacht,female,65-75,"Hbo-, wo-master, doctor",39.0,D66
GM0599    ,Rotterdam,female,55-65,"Hbo-, wo-bachelor",5530.0,D66
GM0344    ,Utrecht (gemeente),male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",2374.0,50PLUS
GM0014    ,Groningen (gemeente),female,65-75,"Havo, vwo, mbo2-4",3159.0,CDA
GM1509    ,Oude IJsselstreek,female,65-75,Basisonderwijs,347.0,CDA
GM0654    ,Borsele,male,35-45,"Havo, vwo, mbo2-4",728.0,BBB
GM1980    ,Dijk en Waard,male,65-75,"Havo, vwo, mbo2-4",2217.0,CDA
GM0362    ,Amstelveen,female,55-65,"Havo, vwo, mbo2-4",1947.0,VVD
GM0268    ,Nijmegen,female,25-35,"Hbo-, wo-master, doctor",7191.0,D66
GM0498    ,Drechterland,female,65-75,"Hbo-, wo-bachelor",243.0,50PLUS
GM0396    ,Heemskerk,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",742.0,50PLUS
GM0402    ,Hilversum,female,25-35,"Hbo-, wo-bachelor",1693.0,D66
GM0717    ,Veere,male,55-65,"Hbo-, wo-bachelor",289.0,VVD
GM0855    ,Tilburg,female,15-25,"Hbo-, wo-bachelor",2766.0,D66
GM0141    ,Almelo,male,25-35,"Havo, vwo, mbo2-4",2519.0,VVD
GM0228    ,Ede,female,55-65,"Hbo-, wo-bachelor",1450.0,CDA
GM0383    ,Castricum,female,45-55,"Hbo-, wo-bachelor",678.0,VVD
GM0995    ,Lelystad,male,35-45,Basisonderwijs,371.0,PVV
GM0275    ,Rheden,male,35-45,"Havo, vwo, mbo2-4",850.0,VVD
GM0037    ,Stadskanaal,male,15-25,"Havo, vwo, mbo2-4",722.0,Did not vote
GM0307    ,Amersfoort,female,15-25,"Havo, vwo, mbo2-4",4023.0,D66
GM0677    ,Hulst,female,25-35,"Hbo-, wo-master, doctor",88.0,GL-PvdA
GM0177    ,Raalte,female,15-25,"Hbo-, wo-bachelor",196.0,D66
GM0420    ,Medemblik,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",966.0,50PLUS
GM1731    ,Midden-Drenthe,male,25-35,"Havo, vwo, mbo2-4",1054.0,BBB
GM0356    ,Nieuwegein,female,35-45,"Hbo-, wo-bachelor",1206.0,D66
GM0200    ,Apeldoorn,female,45-55,Basisonderwijs,792.0,PVV
GM1883    ,Sittard-Geleen,female,35-45,"Havo, vwo, mbo2-4",1770.0,D66
GM1960    ,West Betuwe,female,65-75,"Havo, vwo, mbo2-4",1146.0,CDA
GM0307    ,Amersfoort,female,65-75,"Hbo-, wo-bachelor",1886.0,CDA
GM1969    ,Westerkwartier,male,55-65,Basisonderwijs,265.0,CDA
GM0627    ,Waddinxveen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",630.0,Did not vote
GM0796    ,'s-Hertogenbosch,male,15-25,"Havo, vwo, mbo2-4",3846.0,Did not vote
GM0518    ,'s-Gravenhage (gemeente),female,45-55,"Hbo-, wo-master, doctor",9312.0,D66
GM0085    ,Ooststellingwerf,female,15-25,Basisonderwijs,138.0,Did not vote
