index,state_cat,cd_cat,age_cat,gender_cat,race_cat,hispanic_cat,educ_cat,cell_pop,state_abbrv,state_cd,vote_choice
284,34,8,83+,Female,Other/Multi,Hispanic,No HS,1984.9800000000005,NJ,NJ-8,Democrat
285,24,2,73-77,Male,Asian,Not Hispanic,4-year,47.43070000000001,MD,MD-2,Democrat
286,5,4,68-72,Female,White,Not Hispanic,HS grad,6220.485000000004,AR,AR-4,Other
287,20,2,63-67,Female,Black,Not Hispanic,Some college,463.9510000000001,KS,KS-2,Republican
288,29,6,53-57,Female,White,Not Hispanic,4-year,4328.110717586852,MO,MO-6,Democrat
289,6,25,63-67,Female,White,Not Hispanic,Some college,2864.870505457983,CA,CA-25,Democrat
290,48,2,63-67,Female,White,Not Hispanic,4-year,2626.1238581138605,TX,TX-2,Did not vote
291,6,1,83+,Female,White,Not Hispanic,Some college,2667.765339810342,CA,CA-1,Republican
292,51,1,43-47,Male,White,Not Hispanic,HS grad,3387.5452000000005,VA,VA-1,Republican
293,6,24,43-47,Male,Other/Multi,Not Hispanic,4-year,161.4437351747825,CA,CA-24,Democrat
294,48,7,38-42,Female,White,Not Hispanic,4-year,2991.4776219415594,TX,TX-7,Democrat
295,48,34,58-62,Female,Other/Multi,Hispanic,2-year,730.4574581446248,TX,TX-34,Democrat
296,55,1,18-22,Male,White,Not Hispanic,Some college,5923.567999999999,WI,WI-1,Republican
297,45,6,78-82,Female,White,Not Hispanic,Post-grad,1008.5462,SC,SC-6,Democrat
298,42,15,83+,Female,White,Not Hispanic,HS grad,8729.888200000009,PA,PA-15,Democrat
299,36,25,83+,Female,Black,Not Hispanic,No HS,413.1186,NY,NY-25,Republican
300,42,15,63-67,Male,White,Not Hispanic,2-year,2222.638700000002,PA,PA-15,Did not vote
301,6,41,53-57,Male,White,Not Hispanic,4-year,1176.2185661272351,CA,CA-41,Republican
302,31,2,38-42,Female,Other/Multi,Hispanic,Some college,270.3912,NE,NE-2,Democrat
303,29,2,58-62,Male,Asian,Not Hispanic,No HS,189.0666952710069,MO,MO-2,Republican
304,48,13,63-67,Male,Other/Multi,Hispanic,Post-grad,54.77567536537162,TX,TX-13,Democrat
305,26,5,53-57,Female,White,Not Hispanic,4-year,4097.5308,MI,MI-5,Democrat
306,21,3,63-67,Female,Black,Not Hispanic,Some college,1317.2547,KY,KY-3,Democrat
307,36,24,68-72,Female,White,Not Hispanic,HS grad,8017.399100000004,NY,NY-24,Republican
308,13,4,48-52,Female,White,Not Hispanic,Post-grad,2371.9108999999994,GA,GA-4,Republican
309,6,44,28-32,Male,White,Hispanic,HS grad,1043.159424043267,CA,CA-44,Did not vote
310,26,11,58-62,Male,White,Not Hispanic,Some college,3661.853,MI,MI-11,Did not vote
311,24,3,28-32,Male,White,Not Hispanic,HS grad,2101.8545000000013,MD,MD-3,Democrat
312,12,17,63-67,Male,White,Not Hispanic,HS grad,7690.4112518188895,FL,FL-17,Republican
313,19,4,18-22,Male,Other/Multi,Not Hispanic,HS grad,736.1448,IA,IA-4,Democrat
314,19,3,53-57,Male,White,Not Hispanic,4-year,4215.316999999998,IA,IA-3,Republican
315,17,13,23-27,Female,White,Not Hispanic,4-year,5598.6426,IL,IL-13,Democrat
316,21,1,38-42,Male,White,Not Hispanic,HS grad,7391.292000000001,KY,KY-1,Democrat
317,39,3,23-27,Male,Black,Not Hispanic,Some college,2337.4782062546624,OH,OH-3,Republican
318,16,1,53-57,Female,White,Not Hispanic,Some college,6300.688799999996,ID,ID-1,Republican
319,51,11,38-42,Female,White,Not Hispanic,HS grad,451.69430000000006,VA,VA-11,Did not vote
320,49,2,58-62,Male,White,Not Hispanic,Post-grad,2808.32627357226,UT,UT-2,Democrat
321,26,12,83+,Female,Black,Not Hispanic,HS grad,1819.6582,MI,MI-12,Democrat
322,17,13,43-47,Male,Black,Not Hispanic,HS grad,1391.6813000000002,IL,IL-13,Democrat
323,31,2,18-22,Male,Black,Not Hispanic,HS grad,1126.9596,NE,NE-2,Democrat
324,48,9,68-72,Male,White,Not Hispanic,Some college,1657.088846766394,TX,TX-9,Democrat
325,37,4,28-32,Male,White,Not Hispanic,4-year,6096.424367378997,NC,NC-4,Did not vote
326,45,7,73-77,Male,White,Not Hispanic,HS grad,4701.359100000001,SC,SC-7,Democrat
327,30,2,58-62,Male,White,Not Hispanic,Some college,3210.7828000000013,MT,MT-2,Democrat
328,36,22,23-27,Male,White,Not Hispanic,HS grad,4117.477299999999,NY,NY-22,Republican
329,13,13,68-72,Male,White,Not Hispanic,Some college,1258.7659999999994,GA,GA-13,Republican
330,41,3,33-37,Male,White,Not Hispanic,4-year,7415.904799999996,OR,OR-3,Republican
331,12,5,53-57,Female,White,Not Hispanic,4-year,5199.018408783722,FL,FL-5,Democrat
332,39,6,68-72,Male,White,Not Hispanic,HS grad,9007.371768820043,OH,OH-6,Other
333,48,15,28-32,Female,White,Hispanic,4-year,1088.2699170749952,TX,TX-15,Democrat
334,6,40,43-47,Male,Other/Multi,Hispanic,No HS,1092.6393016824668,CA,CA-40,Democrat
335,36,13,83+,Female,Other/Multi,Hispanic,No HS,2725.7908000000007,NY,NY-13,Republican
336,6,22,43-47,Male,Black,Not Hispanic,No HS,288.1571766689209,CA,CA-22,Other
337,40,4,33-37,Male,Other/Multi,Not Hispanic,Some college,709.7423,OK,OK-4,Democrat
338,6,17,23-27,Female,Asian,Not Hispanic,4-year,4997.689419199368,CA,CA-17,Republican
339,51,5,68-72,Male,White,Not Hispanic,Post-grad,2744.4266,VA,VA-5,Democrat
340,6,42,83+,Female,White,Not Hispanic,No HS,438.7302069992624,CA,CA-42,Democrat
341,53,4,58-62,Male,White,Not Hispanic,Some college,2974.3183000000017,WA,WA-4,Democrat
342,45,6,43-47,Female,Black,Not Hispanic,HS grad,1991.0437000000009,SC,SC-6,Republican
343,36,4,28-32,Female,White,Not Hispanic,No HS,366.8301,NY,NY-4,Democrat
344,42,17,33-37,Female,White,Not Hispanic,Post-grad,5270.373399999998,PA,PA-17,Republican
345,45,3,83+,Male,Other/Multi,Not Hispanic,Some college,40.8915,SC,SC-3,Democrat
346,51,10,18-22,Female,Other/Multi,Hispanic,No HS,675.6203999999999,VA,VA-10,Other
347,12,26,58-62,Female,White,Hispanic,2-year,248.3241948686799,FL,FL-26,Other
348,36,2,53-57,Female,White,Not Hispanic,4-year,3643.951300000002,NY,NY-2,Democrat
349,6,22,43-47,Female,Other/Multi,Hispanic,HS grad,2013.2413462604848,CA,CA-22,Democrat
350,36,14,78-82,Male,Other/Multi,Hispanic,No HS,1017.9994999999996,NY,NY-14,Democrat
351,8,6,53-57,Female,Asian,Not Hispanic,4-year,482.8040999999999,CO,CO-6,Other
352,34,6,18-22,Female,White,Not Hispanic,HS grad,2711.3814000000043,NJ,NJ-6,Democrat
353,34,9,53-57,Female,White,Not Hispanic,HS grad,2567.8535000000006,NJ,NJ-9,Republican
354,26,6,68-72,Male,White,Not Hispanic,4-year,3310.162,MI,MI-6,Republican
355,29,6,23-27,Male,White,Not Hispanic,HS grad,8150.327682358328,MO,MO-6,Republican
356,42,9,63-67,Female,White,Not Hispanic,4-year,3637.4360999999976,PA,PA-9,Republican
357,45,5,63-67,Female,Black,Not Hispanic,4-year,642.7760999999998,SC,SC-5,Democrat
358,27,5,23-27,Female,White,Not Hispanic,4-year,12724.995800000002,MN,MN-5,Did not vote
359,36,7,18-22,Female,White,Not Hispanic,HS grad,2027.4696,NY,NY-7,Democrat
360,51,4,18-22,Female,White,Not Hispanic,Some college,4370.895600000002,VA,VA-4,Other
361,6,34,33-37,Male,White,Not Hispanic,4-year,4828.714457605672,CA,CA-34,Democrat
362,6,33,18-22,Male,White,Not Hispanic,HS grad,2043.2828877840864,CA,CA-33,Republican
363,6,18,68-72,Male,White,Not Hispanic,Some college,1543.9723768628166,CA,CA-18,Other
364,37,6,48-52,Female,White,Not Hispanic,4-year,3821.8472217447616,NC,NC-6,Republican
365,24,3,73-77,Male,White,Not Hispanic,Post-grad,2777.9608000000003,MD,MD-3,Republican
366,42,13,78-82,Female,White,Not Hispanic,Some college,1415.7740000000003,PA,PA-13,Democrat
367,37,12,23-27,Female,White,Not Hispanic,4-year,9942.770833047674,NC,NC-12,Republican
368,17,15,63-67,Male,White,Not Hispanic,HS grad,9467.080700000008,IL,IL-15,Republican
369,48,32,53-57,Female,White,Not Hispanic,HS grad,2767.8908527888034,TX,TX-32,Republican
370,42,9,28-32,Female,White,Not Hispanic,4-year,4256.856799999998,PA,PA-9,Republican
371,13,6,33-37,Female,Other/Multi,Not Hispanic,4-year,586.1157000000001,GA,GA-6,Democrat
372,19,2,63-67,Male,White,Not Hispanic,HS grad,10198.88100000001,IA,IA-2,Democrat
373,17,7,28-32,Female,White,Not Hispanic,4-year,8882.856600000003,IL,IL-7,Democrat
374,6,52,48-52,Male,Asian,Not Hispanic,No HS,160.6298696456353,CA,CA-52,Democrat
375,6,48,28-32,Male,Native American,Hispanic,Some college,70.94181363936157,CA,CA-48,Democrat
376,51,5,78-82,Female,White,Not Hispanic,No HS,1176.5035000000007,VA,VA-5,Other
377,25,4,33-37,Male,Other/Multi,Hispanic,4-year,266.3197,MA,MA-4,Republican
378,21,2,83+,Male,White,Not Hispanic,4-year,480.8314,KY,KY-2,Democrat
379,40,5,83+,Female,White,Not Hispanic,Some college,1971.5762000000004,OK,OK-5,Republican
380,33,2,83+,Female,White,Not Hispanic,4-year,1926.1171,NH,NH-2,Other
381,51,5,78-82,Female,White,Not Hispanic,HS grad,3703.877600000003,VA,VA-5,Democrat
382,42,16,33-37,Male,White,Not Hispanic,Post-grad,2456.8388,PA,PA-16,Democrat
383,26,12,33-37,Male,Black,Not Hispanic,HS grad,3839.723300000001,MI,MI-12,Democrat
384,20,3,83+,Male,White,Not Hispanic,4-year,1603.7253000000003,KS,KS-3,Democrat
385,55,4,18-22,Male,White,Not Hispanic,Some college,5023.081399999999,WI,WI-4,Republican
386,40,1,18-22,Male,Other/Multi,Not Hispanic,HS grad,1446.7147000000004,OK,OK-1,Did not vote
387,53,1,38-42,Male,White,Not Hispanic,4-year,5126.074799999999,WA,WA-1,Democrat
388,6,33,58-62,Female,Native American,Not Hispanic,Some college,43.70560242245757,CA,CA-33,Republican
389,48,10,58-62,Female,Black,Not Hispanic,Post-grad,200.8495932639588,TX,TX-10,Democrat
390,36,23,68-72,Female,White,Not Hispanic,4-year,2991.0605,NY,NY-23,Republican
391,6,35,43-47,Female,Other/Multi,Hispanic,HS grad,3147.2313528474697,CA,CA-35,Republican
392,36,1,68-72,Female,White,Not Hispanic,Some college,3152.6696999999995,NY,NY-1,Democrat
393,39,3,33-37,Female,White,Not Hispanic,Post-grad,5003.942917783798,OH,OH-3,Democrat
394,1,6,38-42,Female,Black,Not Hispanic,2-year,723.8641999999996,AL,AL-6,Democrat
395,26,2,23-27,Female,White,Not Hispanic,2-year,2159.5549999999994,MI,MI-2,Did not vote
396,47,8,33-37,Female,Other/Multi,Not Hispanic,Some college,298.76840000000004,TN,TN-8,Democrat
397,16,1,18-22,Male,Other/Multi,Hispanic,HS grad,1524.4664,ID,ID-1,Democrat
398,26,3,63-67,Male,White,Not Hispanic,Post-grad,2433.3745,MI,MI-3,Democrat
399,25,6,28-32,Male,Other/Multi,Hispanic,Some college,377.4249999999999,MA,MA-6,Republican
400,17,1,43-47,Female,White,Hispanic,2-year,6.525799999999999,IL,IL-1,Republican
401,49,3,53-57,Female,White,Not Hispanic,HS grad,2744.8631136591844,UT,UT-3,Republican
402,42,16,58-62,Male,Black,Not Hispanic,Some college,297.2732,PA,PA-16,Republican
403,6,30,18-22,Male,Other/Multi,Hispanic,HS grad,2279.787145422972,CA,CA-30,Did not vote
404,55,8,48-52,Male,White,Not Hispanic,4-year,4844.6451,WI,WI-8,Republican
405,48,23,53-57,Female,White,Not Hispanic,Some college,1545.8892703272493,TX,TX-23,Democrat
406,13,12,18-22,Male,White,Not Hispanic,HS grad,5485.580399999998,GA,GA-12,Republican
407,48,4,33-37,Male,White,Not Hispanic,Some college,2399.4990225238303,TX,TX-4,Democrat
408,6,27,83+,Female,Asian,Not Hispanic,No HS,175.07390892473413,CA,CA-27,Democrat
409,56,1,48-52,Female,White,Not Hispanic,4-year,3217.0,WY,WY-1,Did not vote
410,37,9,63-67,Male,Other/Multi,Not Hispanic,Some college,132.77898173704332,NC,NC-9,Republican
411,37,3,23-27,Female,Other/Multi,Hispanic,HS grad,885.7474655769262,NC,NC-3,Did not vote
412,6,20,23-27,Male,Black,Not Hispanic,HS grad,485.01110930261353,CA,CA-20,Democrat
413,48,31,83+,Male,White,Not Hispanic,Some college,1145.028323505791,TX,TX-31,Republican
414,4,5,43-47,Female,Other/Multi,Hispanic,No HS,374.3223,AZ,AZ-5,Democrat
415,12,20,83+,Female,White,Not Hispanic,HS grad,4233.734720076407,FL,FL-20,Democrat
416,6,45,73-77,Male,Asian,Not Hispanic,Some college,720.7459351201279,CA,CA-45,Democrat
417,42,14,73-77,Male,White,Not Hispanic,HS grad,7059.714899999981,PA,PA-14,Republican
418,12,3,73-77,Male,White,Not Hispanic,4-year,2828.198137459757,FL,FL-3,Democrat
419,48,38,33-37,Female,Asian,Not Hispanic,4-year,827.9128938268599,TX,TX-38,Did not vote
420,37,5,68-72,Female,White,Not Hispanic,4-year,2740.2954420087613,NC,NC-5,Democrat
421,4,8,38-42,Female,White,Not Hispanic,Some college,2797.7772000000004,AZ,AZ-8,Democrat
422,1,3,38-42,Male,White,Hispanic,No HS,156.6841,AL,AL-3,Republican
423,6,1,68-72,Male,White,Not Hispanic,4-year,4355.946263468506,CA,CA-1,Democrat
424,36,10,23-27,Female,White,Not Hispanic,4-year,14129.798100000004,NY,NY-10,Did not vote
425,45,6,58-62,Male,Black,Not Hispanic,HS grad,4067.7544000000025,SC,SC-6,Republican
426,12,19,83+,Female,White,Not Hispanic,HS grad,8549.07115934771,FL,FL-19,Democrat
427,48,10,28-32,Female,Other/Multi,Hispanic,HS grad,800.9018264406212,TX,TX-10,Republican
428,6,4,28-32,Male,White,Not Hispanic,4-year,3011.553179807784,CA,CA-4,Republican
429,45,6,43-47,Male,Black,Not Hispanic,No HS,1346.0591000000002,SC,SC-6,Republican
430,51,2,53-57,Female,White,Not Hispanic,4-year,4257.996999999999,VA,VA-2,Other
431,42,13,18-22,Male,White,Not Hispanic,HS grad,8921.861000000003,PA,PA-13,Republican
432,39,8,23-27,Male,Asian,Not Hispanic,HS grad,217.76475891102032,OH,OH-8,Republican
433,48,4,63-67,Female,White,Not Hispanic,No HS,425.1158732094805,TX,TX-4,Democrat
434,4,9,73-77,Male,Other/Multi,Not Hispanic,Some college,172.559,AZ,AZ-9,Republican
435,12,5,38-42,Female,White,Not Hispanic,4-year,5017.668313153865,FL,FL-5,Did not vote
436,6,36,73-77,Female,White,Not Hispanic,Some college,2021.2994534244733,CA,CA-36,Republican
437,28,2,48-52,Male,Black,Not Hispanic,Post-grad,752.2200000000001,MS,MS-2,Democrat
438,42,1,68-72,Male,White,Not Hispanic,Post-grad,3396.3575000000005,PA,PA-1,Republican
439,36,20,83+,Male,White,Not Hispanic,Some college,912.9075,NY,NY-20,Republican
440,48,10,83+,Female,White,Not Hispanic,HS grad,2480.179791843265,TX,TX-10,Did not vote
441,6,51,43-47,Male,White,Not Hispanic,Some college,2239.478772062896,CA,CA-51,Democrat
442,41,3,28-32,Male,White,Not Hispanic,Some college,4116.998299999998,OR,OR-3,Democrat
443,12,1,73-77,Female,White,Not Hispanic,HS grad,4422.262463001764,FL,FL-1,Republican
444,13,6,38-42,Female,Other/Multi,Hispanic,Post-grad,348.0488,GA,GA-6,Democrat
445,39,12,73-77,Male,White,Not Hispanic,4-year,2613.0926702913503,OH,OH-12,Republican
446,55,1,38-42,Female,White,Not Hispanic,2-year,2351.6675,WI,WI-1,Democrat
447,36,12,58-62,Male,White,Not Hispanic,No HS,120.9581,NY,NY-12,Republican
448,6,3,18-22,Male,Black,Not Hispanic,HS grad,628.7563898049276,CA,CA-3,Democrat
449,36,15,18-22,Female,Other/Multi,Hispanic,HS grad,2404.7708999999995,NY,NY-15,Democrat
450,5,1,68-72,Female,White,Not Hispanic,4-year,1909.6789000000008,AR,AR-1,Republican
451,48,25,73-77,Female,Black,Not Hispanic,HS grad,572.6428011425834,TX,TX-25,Republican
452,39,12,63-67,Male,White,Not Hispanic,Some college,3730.02499087459,OH,OH-12,Republican
453,8,7,43-47,Female,Other/Multi,Hispanic,Post-grad,310.5969,CO,CO-7,Republican
454,6,20,63-67,Female,White,Not Hispanic,4-year,1389.544816297525,CA,CA-20,Republican
455,9,4,23-27,Female,White,Hispanic,Some college,145.0188,CT,CT-4,Republican
456,55,1,33-37,Female,White,Not Hispanic,2-year,2224.2955999999995,WI,WI-1,Republican
457,26,3,63-67,Male,Native American,Not Hispanic,HS grad,45.3684,MI,MI-3,Democrat
458,42,17,68-72,Female,Black,Not Hispanic,HS grad,368.8515,PA,PA-17,Democrat
459,36,23,53-57,Male,White,Not Hispanic,HS grad,8417.634199999995,NY,NY-23,Republican
460,34,9,48-52,Male,Other/Multi,Hispanic,Some college,956.4444,NJ,NJ-9,Other
461,6,47,18-22,Female,White,Hispanic,2-year,149.7151735403633,CA,CA-47,Republican
462,51,10,18-22,Female,Asian,Not Hispanic,4-year,339.7916000000001,VA,VA-10,Democrat
463,17,1,23-27,Male,Black,Not Hispanic,Some college,2525.4185999999995,IL,IL-1,Republican
464,34,12,23-27,Male,White,Not Hispanic,4-year,4315.377399999999,NJ,NJ-12,Democrat
465,39,8,68-72,Female,White,Not Hispanic,Post-grad,2305.5076854337885,OH,OH-8,Republican
466,37,2,58-62,Male,Asian,Not Hispanic,HS grad,70.39621045173419,NC,NC-2,Other
467,51,7,58-62,Male,White,Not Hispanic,4-year,2800.463,VA,VA-7,Republican
468,6,48,48-52,Female,Other/Multi,Hispanic,HS grad,1109.7777366504904,CA,CA-48,Republican
469,28,4,28-32,Male,White,Not Hispanic,2-year,2062.7217,MS,MS-4,Republican
470,22,5,63-67,Female,White,Not Hispanic,4-year,2675.528199999999,LA,LA-5,Republican
471,26,10,28-32,Female,White,Not Hispanic,HS grad,3068.0341,MI,MI-10,Other
472,6,34,23-27,Female,Other/Multi,Hispanic,2-year,914.2249266663374,CA,CA-34,Republican
473,6,41,38-42,Male,Other/Multi,Hispanic,Some college,2438.8737568230217,CA,CA-41,Republican
474,13,9,53-57,Female,Black,Not Hispanic,Some college,422.5492,GA,GA-9,Democrat
475,17,2,53-57,Male,Other/Multi,Hispanic,Some college,130.2932,IL,IL-2,Democrat
476,24,8,18-22,Female,Black,Not Hispanic,Some college,1043.5837,MD,MD-8,Democrat
477,36,12,38-42,Male,Asian,Not Hispanic,4-year,1043.2261,NY,NY-12,Democrat
478,36,22,68-72,Male,White,Not Hispanic,HS grad,5071.156599999995,NY,NY-22,Republican
479,24,1,23-27,Female,White,Not Hispanic,4-year,5189.8127,MD,MD-1,Did not vote
480,23,1,68-72,Female,White,Not Hispanic,HS grad,5911.541199999999,ME,ME-1,Republican
481,12,11,63-67,Male,Other/Multi,Hispanic,Some college,411.3825171170316,FL,FL-11,Democrat
482,36,1,68-72,Female,White,Not Hispanic,Post-grad,4872.0773999999965,NY,NY-1,Democrat
483,17,8,43-47,Female,White,Not Hispanic,Post-grad,2830.529300000001,IL,IL-8,Democrat
484,4,8,33-37,Male,White,Not Hispanic,HS grad,3342.984600000001,AZ,AZ-8,Republican
485,24,3,68-72,Female,White,Not Hispanic,Some college,2632.4246000000007,MD,MD-3,Democrat
486,26,10,23-27,Male,Black,Not Hispanic,Some college,1114.6916,MI,MI-10,Republican
487,12,14,78-82,Female,White,Not Hispanic,HS grad,2313.5016793633968,FL,FL-14,Republican
488,34,9,53-57,Female,White,Not Hispanic,4-year,2263.4475000000007,NJ,NJ-9,Democrat
489,34,6,38-42,Male,Other/Multi,Hispanic,No HS,650.3380000000001,NJ,NJ-6,Republican
490,39,9,63-67,Female,White,Not Hispanic,Some college,4656.114364620699,OH,OH-9,Did not vote
491,37,2,28-32,Female,Black,Not Hispanic,4-year,1507.5669758182698,NC,NC-2,Democrat
492,37,4,23-27,Male,Black,Not Hispanic,No HS,364.307588925047,NC,NC-4,Democrat
493,17,8,18-22,Female,White,Not Hispanic,Some college,3016.9961999999978,IL,IL-8,Did not vote
494,44,2,58-62,Male,White,Not Hispanic,4-year,3345.028799999999,RI,RI-2,Other
495,33,1,33-37,Male,Other/Multi,Not Hispanic,4-year,439.44720000000007,NH,NH-1,Republican
496,25,1,53-57,Female,Other/Multi,Not Hispanic,2-year,90.2792,MA,MA-1,Republican
497,36,19,43-47,Female,White,Not Hispanic,2-year,2128.6391,NY,NY-19,Democrat
498,19,1,38-42,Female,White,Not Hispanic,HS grad,3364.4243,IA,IA-1,Republican
499,29,2,23-27,Female,White,Not Hispanic,2-year,1734.9259175861048,MO,MO-2,Republican
500,41,4,23-27,Male,White,Not Hispanic,HS grad,7165.573900000006,OR,OR-4,Democrat
501,48,26,68-72,Female,White,Not Hispanic,Some college,3368.99927076468,TX,TX-26,Republican
502,49,4,53-57,Male,Other/Multi,Hispanic,Some college,352.3137274472988,UT,UT-4,Did not vote
503,28,2,23-27,Male,Black,Not Hispanic,2-year,1594.1806,MS,MS-2,Other
504,29,5,23-27,Male,Black,Not Hispanic,No HS,248.89380341366336,MO,MO-5,Democrat
505,45,6,18-22,Female,Black,Not Hispanic,Some college,4267.6369,SC,SC-6,Democrat
506,17,7,28-32,Female,White,Not Hispanic,Post-grad,6225.237600000007,IL,IL-7,Did not vote
507,48,4,48-52,Female,White,Not Hispanic,No HS,312.000762992806,TX,TX-4,Did not vote
508,27,6,18-22,Female,White,Not Hispanic,HS grad,6729.717100000002,MN,MN-6,Republican
509,6,32,48-52,Female,White,Not Hispanic,Post-grad,3084.1940114468543,CA,CA-32,Republican
510,6,10,83+,Male,White,Not Hispanic,No HS,244.4095087507834,CA,CA-10,Republican
511,48,6,53-57,Female,White,Not Hispanic,Some college,2815.922375457204,TX,TX-6,Republican
512,6,3,48-52,Male,White,Not Hispanic,4-year,4174.288565643365,CA,CA-3,Democrat
513,13,10,53-57,Male,Black,Not Hispanic,HS grad,2031.0462999999995,GA,GA-10,Democrat
514,17,15,83+,Female,White,Not Hispanic,HS grad,8078.624099999993,IL,IL-15,Democrat
515,8,7,38-42,Male,White,Not Hispanic,4-year,7524.252399999999,CO,CO-7,Other
516,17,6,83+,Female,White,Not Hispanic,Post-grad,802.8199999999997,IL,IL-6,Democrat
517,41,6,68-72,Female,White,Not Hispanic,Some college,4928.829500000001,OR,OR-6,Democrat
518,1,7,38-42,Male,White,Not Hispanic,4-year,2135.219400000001,AL,AL-7,Republican
519,47,9,18-22,Female,Black,Not Hispanic,No HS,1729.5697999999998,TN,TN-9,Democrat
520,48,13,38-42,Female,White,Not Hispanic,HS grad,3399.0458917941028,TX,TX-13,Democrat
521,20,2,23-27,Male,White,Not Hispanic,Some college,3787.693099999997,KS,KS-2,Republican
522,6,50,68-72,Female,White,Not Hispanic,Some college,2711.998995273015,CA,CA-50,Democrat
523,36,7,43-47,Male,Black,Not Hispanic,No HS,323.5328999999999,NY,NY-7,Republican
524,6,34,33-37,Female,Other/Multi,Hispanic,HS grad,1867.9398339764195,CA,CA-34,Did not vote
525,19,3,18-22,Male,White,Not Hispanic,HS grad,7339.203000000005,IA,IA-3,Democrat
526,53,4,43-47,Male,White,Not Hispanic,4-year,2252.9927,WA,WA-4,Did not vote
527,55,7,68-72,Male,White,Not Hispanic,Post-grad,1837.6802,WI,WI-7,Did not vote
528,42,13,18-22,Male,White,Not Hispanic,No HS,3465.236500000003,PA,PA-13,Other
529,17,5,53-57,Female,Asian,Not Hispanic,Post-grad,611.6361999999999,IL,IL-5,Democrat
530,39,4,18-22,Female,White,Not Hispanic,HS grad,7429.404331632254,OH,OH-4,Republican
531,39,11,23-27,Female,Black,Not Hispanic,Some college,4279.7375533728455,OH,OH-11,Democrat
532,21,4,78-82,Female,White,Not Hispanic,HS grad,4482.7293999999965,KY,KY-4,Republican
533,36,25,33-37,Male,Other/Multi,Hispanic,HS grad,467.0,NY,NY-25,Democrat
534,1,5,58-62,Female,White,Not Hispanic,Some college,3677.4244000000017,AL,AL-5,Did not vote
535,12,8,28-32,Female,White,Not Hispanic,4-year,3208.069045378444,FL,FL-8,Republican
536,29,7,23-27,Male,White,Not Hispanic,HS grad,7747.332063429919,MO,MO-7,Republican
537,8,3,38-42,Female,White,Not Hispanic,2-year,1651.3864,CO,CO-3,Democrat
538,8,4,33-37,Female,White,Not Hispanic,Some college,3180.3789,CO,CO-4,Democrat
539,48,4,18-22,Female,Other/Multi,Hispanic,No HS,289.422884771342,TX,TX-4,Democrat
540,55,5,33-37,Female,White,Not Hispanic,2-year,1764.436600000001,WI,WI-5,Republican
541,34,2,33-37,Female,White,Hispanic,HS grad,202.8022,NJ,NJ-2,Democrat
542,48,5,28-32,Male,Other/Multi,Hispanic,Some college,1350.150808064996,TX,TX-5,Democrat
543,55,5,63-67,Female,White,Not Hispanic,HS grad,7981.945699999995,WI,WI-5,Democrat
544,6,45,28-32,Male,White,Not Hispanic,4-year,2457.5629584931835,CA,CA-45,Republican
545,25,8,58-62,Male,Other/Multi,Not Hispanic,Post-grad,198.0007,MA,MA-8,Democrat
546,21,6,73-77,Male,White,Not Hispanic,Some college,1793.8958999999988,KY,KY-6,Did not vote
547,6,14,68-72,Male,White,Hispanic,No HS,28.0,CA,CA-14,Democrat
548,42,6,28-32,Female,Other/Multi,Hispanic,No HS,608.079,PA,PA-6,Democrat
549,25,2,48-52,Male,White,Not Hispanic,Post-grad,3803.019899999996,MA,MA-2,Democrat
550,26,8,28-32,Male,White,Not Hispanic,Some college,4720.017800000001,MI,MI-8,Republican
551,6,49,48-52,Male,White,Not Hispanic,Post-grad,4542.443318972313,CA,CA-49,Republican
552,9,2,73-77,Male,White,Not Hispanic,4-year,2505.8976,CT,CT-2,Republican
553,48,36,58-62,Male,White,Not Hispanic,HS grad,3665.9614514302566,TX,TX-36,Did not vote
554,5,2,63-67,Male,White,Not Hispanic,2-year,1217.3505,AR,AR-2,Democrat
555,12,17,68-72,Male,White,Not Hispanic,HS grad,6884.304520091337,FL,FL-17,Republican
556,15,1,53-57,Male,Asian,Not Hispanic,No HS,1155.502,HI,HI-1,Democrat
557,27,4,28-32,Female,White,Not Hispanic,Post-grad,2847.8493000000003,MN,MN-4,Democrat
558,36,1,18-22,Male,White,Not Hispanic,Some college,6542.097000000001,NY,NY-1,Republican
559,27,5,48-52,Male,White,Not Hispanic,Some college,2363.6721,MN,MN-5,Democrat
560,6,16,73-77,Male,White,Not Hispanic,No HS,299.68179985816494,CA,CA-16,Republican
561,12,22,23-27,Female,Other/Multi,Hispanic,4-year,1773.897142085221,FL,FL-22,Republican
562,48,7,38-42,Female,White,Not Hispanic,Post-grad,1963.7526954270745,TX,TX-7,Republican
563,36,24,18-22,Female,White,Not Hispanic,Some college,8336.595299999992,NY,NY-24,Republican
564,37,2,58-62,Female,Asian,Not Hispanic,Post-grad,319.4140791278177,NC,NC-2,Democrat
565,37,11,63-67,Female,White,Not Hispanic,Some college,5139.192472747283,NC,NC-11,Democrat
566,42,9,38-42,Female,White,Not Hispanic,Post-grad,3138.4210999999978,PA,PA-9,Democrat
567,6,4,53-57,Male,Asian,Not Hispanic,4-year,605.8432977246364,CA,CA-4,Democrat
568,19,3,58-62,Male,White,Not Hispanic,4-year,4276.026600000001,IA,IA-3,Republican
569,32,1,28-32,Female,White,Not Hispanic,HS grad,1771.8787000000002,NV,NV-1,Did not vote
570,17,17,68-72,Female,Black,Not Hispanic,Some college,401.8699,IL,IL-17,Democrat
